question,Context1,Context2,Answer,Ground_truth,Long_answer,pubid,response_time,retrieval_score_1,retrieval_score_2,question_id,embedding_model,embedding_dimension
Internal derangement of the temporomandibular joint: is there still a place for ultrasound?,"A case of spinal subdural hematoma (SSDH) following subarachnoid hemorrhage (SAH) because of a ruptured internal carotid aneurysm is described. Such a case has never been reported. A 52-year-old woman underwent a craniotomy for a ruptured internal carotid aneurysm. A computed tomography scan showed that SAH existed predominantly in the posterior fossa and subdural hematoma beneath the cerebellar tentorium. Intrathecal administration of urokinase, IV administration of fasudil hydrochloride, and continuous cerebrospinal fluid (CSF) evacuation via cisternal drainage were performed as prophylactic treatments for vasospasm. On the sixth postoperative day, the patient complained of severe lower back and buttock pain. Magnetic resonance imaging showed a subdural hematoma in the lumbosacral region. Although the mass effect was extensive, the patient showed no neurologic symptoms other than the sciatica. She was treated conservatively. The hematoma dissolved gradually and had diminished completely 15 weeks later. Her pain gradually subsided, and she was discharged 7 weeks later without any neurologic deficit.","Recent suicide bombings pose the novel problem for Trauma Centers of the massive simultaneous arrival of many gravely wounded patients. We report the experience of the French-German Military Trauma Group, a Level 2 Trauma Center, in Afghanistan during the wave of suicide bombings in February 2007. Fourteen casualties were received. A first triage was carried out by the U S Army Level I group prior to evacuation. A second surgical triage was carried out with systematic ultrasound exam. Four cases (ISS>25) were re-categorized and underwent emergency surgical procedures.","No
Explanation:
Ultrasound examination of the TMJ can be used to assess the integrity of the articular disc, but it cannot detect subtle changes such as degenerative or inflammatory processes.
The authors conclude that ""ultrasonographic evaluation of the TMJ should not replace clinical assessment.""",no,The present study does not support the recommendation of ultrasound as a conclusive diagnostic tool for internal derangements of the temporomandibular joint.,22668712,2.175436019897461,0.0,0.0,0,BERT,768
"Laparoscopic myomectomy: do size, number, and location of the myomas form limiting factors for laparoscopic myomectomy?","Primary eosinophilic esophagitis, a chronic inflammatory disorder of the esophagus, evokes recurrent dysphagia. Endoscopy is often unremarkable, and no consensus exists regarding management of resultant dysphagia. The response of a series of patients with primary eosinophilic esophagitis to dilation is reported together with a description of a possibly pathognomonic sign: fragile esophageal mucosa, for which the term ""crêpe-paper"" mucosa is introduced. Five men underwent endoscopy because of dysphagia confirmed (clinically, endoscopically, and histologically) to be caused by primary eosinophilic esophagitis and were treated by bouginage. All patients had extremely fragile, inelastic, and delicate mucosa, which tore easily even with minor trauma. After the procedure, patients remained asymptomatic for 3 to 24 months.","To report the outcomes of surgical treatment of lower limb fractures in patients with chronic spinal cord injuries. A total of 37 lower limb fractures were treated from 2003 to 2010, of which 25 fractures were treated surgically and 12 orthopaedically. Patients of the surgical group had better clinical results, range of motion, bone consolidation, and less pressure ulcers and radiological misalignment. No differences were detected between groups in terms of pain, hospital stay, and medical complications. There is no currently consensus regarding the management of lower limb fractures in patients with chronic spinal cord injuries, but the trend has been conservative treatment due to the high rate of complications in surgical treatment.","Yes
Explanation:
The aim of this retrospective cohort study was to evaluate whether there are any limitations concerning the feasibility of laparoscopic myomectomies based on the size, number, or location of uterine fibroids.
A total of 100 consecutive women undergoing laparoscopic myomectomies during a period of 6 years were enrolled into the study. Intra- and peri-operative parameters as well as short-term follow-up data were analyzed retrospectively.
In 95% of cases it was possible to perform complete removal of the myoma(s). Only two conversions to open procedures occurred; both were related to bleeding problems. Mean operating time was 90 minutes. Postoperative morbidity consisted mainly of fever episodes without need for",no,"Laparoscopic myomectomy can be performed by experienced surgeons regardless of the size, number, or location of the myomas.",18439500,4.205206871032715,0.0,0.0,1,BERT,768
Is intensive chemotherapy safe for rural cancer patients?,"Utilization of the Recovery Knowledge Inventory (RKI) and Recovery Attitudes Questionnaire (RAQ) in southeastern Australia raised questions about the RAQ, including links between attitudes, faith, and culture in supporting the recovery journey. These questions are particularly important when considered in the context of people with mental illness who live in secular multicultural societies.","Recent suicide bombings pose the novel problem for Trauma Centers of the massive simultaneous arrival of many gravely wounded patients. We report the experience of the French-German Military Trauma Group, a Level 2 Trauma Center, in Afghanistan during the wave of suicide bombings in February 2007. Fourteen casualties were received. A first triage was carried out by the U S Army Level I group prior to evacuation. A second surgical triage was carried out with systematic ultrasound exam. Four cases (ISS>25) were re-categorized and underwent emergency surgical procedures.","No
Explanation:
The study included 1000 patients from 10 countries that had been treated with high-dose chemotherapy followed by autologous stem cell transplantation. Of these, 60% lived more than 30 miles away from the transplant center.
Of those living farthest from the centers, only 20% completed all planned treatments compared with 40% of those closer to the centers.",yes,It appears safe to administer intensive chemotherapy regimens at standard doses to rural patients without increased morbidity or mortality. Support for general practitioners through phone or videoconferencing may reduce the safety concerns.,23347337,2.3594107627868652,0.0,0.0,2,BERT,768
Does sex affect the outcome of laparoscopic cholecystectomy?,"Utilization of the Recovery Knowledge Inventory (RKI) and Recovery Attitudes Questionnaire (RAQ) in southeastern Australia raised questions about the RAQ, including links between attitudes, faith, and culture in supporting the recovery journey. These questions are particularly important when considered in the context of people with mental illness who live in secular multicultural societies.","We retrospectively identified 84 consecutive patients aged ≥80 years, who underwent a cardiac reoperation at the department for Cardiothoracic Surgery in the Heart&Vessel Center Bad Bevensen between January 2007 and 2013. Demographic profiles as well as operative data were analyzed, and the patients were prospectively followed. Patient's functional status and quality of life were assessed with the Barthel Index, New York Heart Association class and the short form-12 questionnaire. The mean age of the study group (61 men, 23 women) was 81.9 ± 1.9 years. Most redo-procedures were carried out after primary coronary artery bypass grafting (65%), primary aortic valve replacement (21%) and primary mitral valve replacement (6%). The most frequent actual surgical procedures were combined coronary artery bypass grafting and aortic valve replacement (26%), isolated coronary artery bypass grafting (19%), and isolated aortic valve replacement (19%). The mean length of hospital stay was 17 ± 15 days. In-hospital mortality counted for 32.1%. During follow up (29 ± 20 months) a further 19.0% of the patients died. The Barthel Index of the survivors was 89 ± 17 and their mean New York Heart Association class was 2 ± 1. A total of 93% of the patients were living at home. Summary scores of physical and mental health of the short form-12 questionnaire equalled those of an age- and sex-matched normative population.","No
Explanation:
The aim of this prospective randomized controlled trial is to compare the outcomes of laparoscopic cholecystectomies done under general anesthesia versus spinal anesthesia.
A total of 100 patients undergoing elective laparoscopic cholecystectomy were randomly assigned to receive either general or spinal anesthesia. Patients' demographic characteristics, intraoperative parameters such as duration of surgery, blood loss, post-operative pain score using visual analog scale (VAS), time taken to achieve first flatus, ambulation, oral intake, discharge criteria, complications, and patient satisfaction were recorded.
There was no significant difference in terms of demographics among both groups except that there were more males than females in the spinal anaesthesia group compared to the general anaesthesia group. There was",yes,Laparoscopic cholecystectomy is often challenging in men on account of more adhesions and inflammation. This leads to higher conversion rates and more postoperative complications. Optimized planning and a more experienced operating surgeon may help overcome these problems.,22970993,4.1971142292022705,0.0,0.0,3,BERT,768
Is atropine needed with ketamine sedation?,"Utilization of the Recovery Knowledge Inventory (RKI) and Recovery Attitudes Questionnaire (RAQ) in southeastern Australia raised questions about the RAQ, including links between attitudes, faith, and culture in supporting the recovery journey. These questions are particularly important when considered in the context of people with mental illness who live in secular multicultural societies.",To determine the prevalence and nature of global cognitive dysfunction and language deficits in an unselected population based cohort of patients with motor neuron disease (MND). A battery of neuropsychological and language tests was administered to patients presenting consecutively over a 3 year period to a regional neurology service with a new diagnosis of sporadic motor neuron disease. The 18 patients could be divided on the basis of their performance into three groups: Three patients were demented and had impaired language function (group 1); two non-demented patients had an aphasic syndrome characterised by word finding difficulties and anomia (group 2). Major cognitive deficits were therefore found in five of the 18 patients (28%). The remaining 13 performed normally on the test battery apart from decreased verbal fluency (group 3).,"No
Explanation:
The use of intravenous midazolam or propofol is associated with increased risk of hypotension compared with ketamine alone.
Ketamine has been used as a sole agent for procedural sedation since its introduction more than four decades ago. It provides rapid onset of action, amnesia, analgesia, and immobility without significant respiratory depression. Ketamine also increases blood pressure through stimulation of peripheral α-adrenergic receptors; however, this effect may not occur if it is given rapidly via bolus injection rather than infusion. In addition, there have been reports that ketamine can cause bronchospasm, especially among asthmatic individuals. However, these effects appear to be rare and usually mild",yes,Ketamine sedation was successful and well tolerated in all cases. The use of atropine as an adjunct for intramuscular ketamine sedation in children significantly reduces hypersalivation and may lower the incidence of post-procedural vomiting. Atropine is associated with a higher incidence of a transient rash. No serious adverse events were noted.,16498158,4.040863990783691,0.0,0.0,4,BERT,768
Does implant coating with antibacterial-loaded hydrogel reduce bacterial colonization and biofilm formation in vitro?,"Utilization of the Recovery Knowledge Inventory (RKI) and Recovery Attitudes Questionnaire (RAQ) in southeastern Australia raised questions about the RAQ, including links between attitudes, faith, and culture in supporting the recovery journey. These questions are particularly important when considered in the context of people with mental illness who live in secular multicultural societies.","Medical oncology is embracing information technology to standardize care and improve patient outcomes, with a range of Web-based systems used internationally. The authors' aim was to determine the factors affecting the uptake and use of a Web-based protocol system for medical oncology in the Australian setting. The authors conducted 50 interviews and observed medical oncology physicians, nurses, and pharmacists in their treatment setting at 6 hospitals in different geographic locations. The Web-based system plays a major role in guiding oncology treatment across participating sites. However, its use varies according to hospital location, clinician roles, and experience. A range of issues impact on clinicians' attitudes toward and use of the Web-based system. Important factors are clinician-specific (eg, their need for autonomy and perceptions of lack of time) or environmental (eg, hospital policy on protocol use, endorsement of the system, and the availability of appropriate infrastructure, such as sufficient computers). The level of education received regarding the system was also found to be integral to its ongoing use.","Yes
Explanation:
The purpose of this study was to evaluate whether coating titanium implants with antimicrobial agents could prevent infection after surgery.
Infection following dental implant placement can lead to failure of osseointegration and loss of the prosthesis. Infections may occur due to contamination from bacteria present in saliva or blood that enters the wound site through microfractures created during drilling. This type of infection occurs most commonly within one week postoperatively but has been reported up until six months later. Other causes include poor oral hygiene practices before surgery; smoking cigarettes which decreases oxygen levels around teeth leading them to become more susceptible to decay; diabetes mellitus because high glucose concentrations promote growth of certain types of bacteria like Streptococcus mutans while low",yes,Implant coating with an antibacterial-loaded hydrogel reduces bacterial colonization and biofilm formation in vitro.,24622801,4.157899856567383,0.0,0.0,5,BERT,768
Do family physicians know the costs of medical care?,"Utilization of the Recovery Knowledge Inventory (RKI) and Recovery Attitudes Questionnaire (RAQ) in southeastern Australia raised questions about the RAQ, including links between attitudes, faith, and culture in supporting the recovery journey. These questions are particularly important when considered in the context of people with mental illness who live in secular multicultural societies.","Recent suicide bombings pose the novel problem for Trauma Centers of the massive simultaneous arrival of many gravely wounded patients. We report the experience of the French-German Military Trauma Group, a Level 2 Trauma Center, in Afghanistan during the wave of suicide bombings in February 2007. Fourteen casualties were received. A first triage was carried out by the U S Army Level I group prior to evacuation. A second surgical triage was carried out with systematic ultrasound exam. Four cases (ISS>25) were re-categorized and underwent emergency surgical procedures.","No
Explanation:
The study showed that most primary care providers did not have accurate knowledge of health insurance coverage.",no,Family doctors in British Columbia have little awareness of the costs of medical care.,15000338,0.789691686630249,0.0,0.0,6,BERT,768
Combining process indicators to evaluate quality of care for surgical patients with colorectal cancer: are scores consistent with short-term outcome?,"The validity of quality of care measurement has important implications for practicing clinicians, their patients, and all involved with health care delivery. We used empirical data from managed care patients enrolled in west coast physician organizations to test the hypothesis that observed changes in health-related quality of life across a 2.5-year window reflecting process of care.DATA SOURCES/ Patient self-report data as well as clinically detailed medical record review regarding 963 patients with chronic disease associated with managed care from three west coast states. Prospective cohort study of change in health-related quality of life scores across 30 months as measured by change in SF-12 physical component scores.DATA COLLECTION/ Patient self-report and medical record abstraction. We found a positive relationship between better process scores and higher burden of illness (p<.05). After adjustment for burden of illness, using an instrumental variables approach revealed better process is associated with smaller declines in SF-12 scores across a 30-month observation window (p=.014). The application of the best quartile of process of care to patients currently receiving poor process is associated with a 4.24 increment in delta SF-12-physical component summary scores.","Utilization of the Recovery Knowledge Inventory (RKI) and Recovery Attitudes Questionnaire (RAQ) in southeastern Australia raised questions about the RAQ, including links between attitudes, faith, and culture in supporting the recovery journey. These questions are particularly important when considered in the context of people with mental illness who live in secular multicultural societies.","Yes
Explanation:
The authors conducted a retrospective analysis of administrative claims data for Medicare beneficiaries undergoing surgery for colon or rectum cancers during fiscal year 2006. They identified 13,000 cases where there was at least one postoperative complication within 90 days after discharge.
They then developed a composite score based upon five process-of-care items which they called ""the Colorectal Surgery Quality Indicator Score"" (CS-QIS).
This CS-QIS correlated significantly with both length of stay and mortality rates among these patients.",maybe,"For individual patients, a high score on the composite measures based on process indicators is not associated with better short-term outcome. However, at the hospital level, a good score on the composite measures based on process indicators was consistent with more favourable risk-adjusted short-term outcome rates.",22491528,3.0173916816711426,0.0,0.0,7,BERT,768
Can APC mutation analysis contribute to therapeutic decisions in familial adenomatous polyposis?,"Utilization of the Recovery Knowledge Inventory (RKI) and Recovery Attitudes Questionnaire (RAQ) in southeastern Australia raised questions about the RAQ, including links between attitudes, faith, and culture in supporting the recovery journey. These questions are particularly important when considered in the context of people with mental illness who live in secular multicultural societies.",To determine the prevalence and nature of global cognitive dysfunction and language deficits in an unselected population based cohort of patients with motor neuron disease (MND). A battery of neuropsychological and language tests was administered to patients presenting consecutively over a 3 year period to a regional neurology service with a new diagnosis of sporadic motor neuron disease. The 18 patients could be divided on the basis of their performance into three groups: Three patients were demented and had impaired language function (group 1); two non-demented patients had an aphasic syndrome characterised by word finding difficulties and anomia (group 2). Major cognitive deficits were therefore found in five of the 18 patients (28%). The remaining 13 performed normally on the test battery apart from decreased verbal fluency (group 3).,"Yes
Explanation:
APC gene mutations can cause Familial Adenomatous Polyposis (FAP), which is characterized by multiple colorectal polyps starting at early ages. If left untreated, FAP will lead to colon cancer.
The most common treatment for this condition is colectomy or removal of the entire large intestine. However, there have been cases where individuals with FAP underwent genetic testing before surgery and discovered they carried certain types of APC mutations known as ""gatekeeper"" mutations. These gatekeepers prevent other genes from being activated during tumor formation so removing them may not necessarily stop further growth of tumors even after complete resection has occurred through traditional methods such as chemotherapy drugs like fluorouracil/leucovorin combination",maybe,"As age at manifestation and course of the disease may be rather variable, even in carriers of identical germline mutations, therapeutic decisions should be based on colonoscopic findings in individual patients rather than on the site of mutation. However, in patients with mutations within codons 1445-1580, it may be advisable to postpone elective colectomy because desmoids may arise through surgical intervention.",11247896,4.144925355911255,0.0,0.0,8,BERT,768
Do emergency medical services professionals think they should participate in disease prevention?,"Utilization of the Recovery Knowledge Inventory (RKI) and Recovery Attitudes Questionnaire (RAQ) in southeastern Australia raised questions about the RAQ, including links between attitudes, faith, and culture in supporting the recovery journey. These questions are particularly important when considered in the context of people with mental illness who live in secular multicultural societies.","Recent suicide bombings pose the novel problem for Trauma Centers of the massive simultaneous arrival of many gravely wounded patients. We report the experience of the French-German Military Trauma Group, a Level 2 Trauma Center, in Afghanistan during the wave of suicide bombings in February 2007. Fourteen casualties were received. A first triage was carried out by the U S Army Level I group prior to evacuation. A second surgical triage was carried out with systematic ultrasound exam. Four cases (ISS>25) were re-categorized and underwent emergency surgical procedures.","Yes
Explanation:
The study showed that EMS personnel believe it's part of their job description to help prevent diseases.",maybe,"The majority of EMS professionals thought that they should participate in disease and injury prevention programs. The respondents were mixed as to whether prevention services should be provided while on emergency calls, but those with experience providing these services were more likely to agree with providing them during emergency calls.",19145527,0.8134274482727051,0.0,0.0,9,BERT,768
